Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
United Kingdom,Afghanistan,2017,EXPIMP,Food Products,483.18,4.08,1.78,0.17,0.44,49.69,-56.49,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,19.2,19.2,1.0,100.0,0.0,0.0,0.0,19.2,19.2,0.0,4.08,0.0
United Kingdom,Angola,2017,EXPIMP,Food Products,6791.76,506.81,1.38,0.71,0.16,17.44,-8.08,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,506.81,44.53,44.53,2.0,0.0,0.0,0.0,100.0,59.59,29.46,0.0,506.81,0.0
United Kingdom,Albania,2017,EXPIMP,Food Products,1452.76,543.45,6.0,11.95,1.18,15.63,8.09,1.39,0.42,173.0,0.0,5.2,9.25,85.55,8.45,0.0,55.21,55.21,488.24,8.62,19.56,173.0,0.0,0.58,12.14,87.28,27.61,0.0,534.54,534.54,8.91
United Kingdom,United Arab Emirates,2017,EXPIMP,Food Products,382263.19,6334.5,3.96,0.28,2.39,14.25,45.54,17.09,6.28,459.0,39.22,7.41,15.9,37.47,133.09,0.0,2125.52,3719.47,2235.48,19.22,6.33,459.0,39.22,6.97,15.9,37.91,133.09,0.0,2125.52,3723.12,2231.82
United Kingdom,Argentina,2017,EXPIMP,Food Products,27540.38,693647.33,6.14,77.17,3.23,9.98,0.24,12.49,1.09,414.0,14.73,4.35,11.59,69.32,133.09,0.0,174783.46,180207.39,513439.94,19.93,5.63,414.0,14.73,3.38,11.59,70.29,133.09,0.0,174783.46,217313.68,476333.65
United Kingdom,Armenia,2017,EXPIMP,Food Products,551.8,113.76,3.93,2.88,0.46,3.59,-8.2,0.79,3.01,246.0,0.0,30.08,6.5,63.41,8.45,0.0,80.4,89.14,22.92,10.38,5.31,246.0,21.95,5.28,6.91,65.85,27.96,0.0,82.46,99.18,12.88
United Kingdom,Antigua and Barbuda,2017,EXPIMP,Food Products,3679.2,3290.19,17.06,70.01,1.18,9.69,-2.61,0.0,0.0,64.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3290.19,5.29,0.59,64.0,71.88,10.94,6.25,10.94,27.84,0.0,11.29,138.54,3151.65
United Kingdom,Australia,2017,EXPIMP,Food Products,471773.69,332422.49,8.18,6.79,2.12,4.37,8.81,15.15,11.34,1015.0,34.09,6.6,10.94,48.37,133.09,0.0,318676.3,328864.9,2128.63,15.15,11.34,1015.0,34.09,6.6,10.94,48.37,133.09,0.0,318676.3,328864.9,2128.63
United Kingdom,Austria,2017,EXPIMP,Food Products,77081.11,259457.52,3.2,5.98,0.88,3.22,-10.69,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Azerbaijan,2017,EXPIMP,Food Products,958.17,80.43,0.33,0.1,0.17,5.4,-0.68,19.07,26.09,99.0,64.65,2.02,0.0,33.33,53.98,0.0,0.0,80.43,0.0,19.07,26.09,99.0,64.65,2.02,0.0,33.33,53.98,0.0,0.0,80.43,0.0
United Kingdom,Belgium,2017,EXPIMP,Food Products,404140.12,2171347.14,2.28,6.76,0.61,1.37,8.73,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bangladesh,2017,EXPIMP,Food Products,9654.46,7760.98,3.18,0.22,,,,0.05,0.01,482.0,0.21,99.79,0.0,0.0,12.8,0.0,0.0,57.08,7659.67,16.45,18.73,482.0,65.98,1.45,9.54,23.03,57.6,0.0,4263.58,7666.97,49.77
United Kingdom,Bulgaria,2017,EXPIMP,Food Products,56479.48,24831.5,9.64,4.28,1.76,2.32,-5.8,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bahrain,2017,EXPIMP,Food Products,28364.05,2.58,4.45,0.0,2.52,-0.87,3.78,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58
United Kingdom,"Bahamas, The",2017,EXPIMP,Food Products,4956.13,4.39,13.13,0.06,1.95,4.03,4.36,0.0,0.0,26.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,3.5,2.81,26.0,11.54,7.69,61.54,19.23,12.8,0.0,4.39,4.39,0.0
