Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
United Kingdom,Anguila,2016,EXPIMP,Food Products,187.99,1.72,7.4,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Albania,2016,EXPIMP,Food Products,1254.21,401.42,5.28,9.13,1.67,9.26,16.83,0.84,0.11,196.0,0.0,21.43,5.1,73.47,8.5,0.0,15.5,15.5,567.52,6.94,21.35,196.0,1.53,7.14,13.78,77.55,29.64,0.0,569.35,569.35,13.68
United Kingdom,Andorra,2016,EXPIMP,Food Products,7337.37,6.34,64.9,0.47,3.4,2.01,-3.99,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69,33.8,33.8,2.0,100.0,0.0,0.0,0.0,57.6,10.0,0.0,12.69,0.0
United Kingdom,United Arab Emirates,2016,EXPIMP,Food Products,395150.44,6555.13,4.34,0.48,2.0,1.57,-2.37,19.01,11.69,471.0,39.7,5.52,14.23,40.55,74.9,0.0,2537.29,6603.46,1564.3,19.01,11.69,471.0,39.7,5.52,14.23,40.55,74.9,0.0,2537.29,6603.46,1564.3
United Kingdom,Argentina,2016,EXPIMP,Food Products,23501.66,555870.29,5.79,67.41,3.44,2.71,11.79,20.28,1.32,552.0,19.75,1.45,4.53,74.28,82.31,0.0,161552.04,165920.21,455249.42,20.28,1.32,552.0,19.75,1.45,4.53,74.28,82.31,0.0,161552.04,165920.21,455249.42
United Kingdom,Armenia,2016,EXPIMP,Food Products,287.53,32.33,1.69,4.75,0.59,0.25,-5.41,0.0,0.0,22.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,47.57,0.0,0.0,22.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,47.57
United Kingdom,Antigua and Barbuda,2016,EXPIMP,Food Products,4605.37,42.91,21.32,8.93,2.12,-1.73,-5.8,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Australia,2016,EXPIMP,Food Products,421079.36,341490.35,7.94,4.84,1.65,1.26,0.91,16.14,11.95,857.0,35.59,7.23,11.32,45.86,139.09,0.0,351955.42,368454.45,1716.13,16.14,11.95,857.0,35.59,7.23,11.32,45.86,139.09,0.0,351955.42,368454.45,1716.13
United Kingdom,Austria,2016,EXPIMP,Food Products,106231.17,280110.61,4.36,6.36,1.01,1.11,0.58,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Belgium,2016,EXPIMP,Food Products,360396.37,2169399.38,2.29,6.88,0.53,2.67,2.41,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bangladesh,2016,EXPIMP,Food Products,8894.5,8323.24,3.18,0.24,,,,0.0,0.0,655.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9179.33,17.66,20.27,655.0,60.46,0.92,6.56,32.06,54.46,0.0,5309.39,9179.33,0.0
United Kingdom,Bulgaria,2016,EXPIMP,Food Products,65416.53,17132.81,9.77,3.07,1.43,4.22,33.48,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bahrain,2016,EXPIMP,Food Products,26895.37,6.92,5.42,0.01,1.52,-5.73,-4.59,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"Bahamas, The",2016,EXPIMP,Food Products,4421.19,115.66,13.33,1.64,1.55,-1.31,0.89,0.0,0.0,6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,207.57,0.0,0.0,6.0,0.0,33.33,66.67,0.0,0.0,0.0,207.57,207.57,0.0
United Kingdom,Bosnia and Herzegovina,2016,EXPIMP,Food Products,2253.87,270.58,7.59,1.04,0.77,1.32,1.52,0.0,0.0,38.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,110.28,11.58,15.29,38.0,5.26,36.84,50.0,7.89,29.64,0.0,72.47,110.28,0.0
